question,answer_agent,answer_orig,tool_calls,cost,document
When is llm-zoomcamp going to be offered again?,The FAQ says the next offering will be in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp offered again next cohort when is it going to be offered again""}'}]",0.00096975,bd31146b0e
Do you know the next time this course will run?,Yes — the course is scheduled to be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time course will run schedule next offering when will the course run again""}'}]",0.00087375,bd31146b0e
Is there a planned date for the next llm-zoomcamp session?,"I couldn’t find a FAQ entry with a specific date for the next LLM Zoomcamp session.

What the FAQ does say is that:
- you can start whenever you want, and
- the current cohort info, homework, and deadlines are on the course management platform: https://courses.datatalks.club/llm-zoomcamp-2026/

If you want, I can help you check whether the platform lists an upcoming start date or deadlines.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next llm-zoomcamp session planned date""}'}]",0.0013245,bd31146b0e
When should I expect the next offering of this course?,The next offering of the course is scheduled for **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next offering of this course when should I expect next offering""}'}]",0.00095025,bd31146b0e
Will this course come back in summer 2027?,Yes — the FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""course come back summer 2027 offered again summer 2027 availability""}'}]",0.0009240,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"You can find the LLM Zoomcamp lectures/videos in the **LLM Zoomcamp GitHub repository**:

- Main repo: https://github.com/DataTalksClub/llm-zoomcamp
- Open the **lesson folders** there — each lesson page has the relevant videos linked at the top.

If you’re unsure where to start, use the **GitHub repo first**, since it’s usually kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp lectures videos course lectures videos where can I find them""}'}]",0.0013410,31456f4b5f
What’s the main place to start if I want to watch the lessons?,"The main place to start is the **LLM Zoomcamp GitHub repository**. Open the lesson folders there—each lesson page has the relevant videos linked at the top.

If you’re wondering what to follow first, the FAQ says to use the repo as the **main entry point**, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""main place to start watch the lessons""}'}]",0.00128625,31456f4b5f
How do I locate the video links for each lesson in the repo?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

1. Open the repo: https://github.com/DataTalksClub/llm-zoomcamp  
2. Go into the **lesson folders**
3. Each lesson page has the relevant **video links at the top**

If you’re checking where to start, the repo is usually more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""locate video links for each lesson in the repo lesson video links repository""}'}]",0.001461,31456f4b5f
"Is there a YouTube playlist, or should I use the GitHub repo instead?","Use the **GitHub repo as the main entry point**. The lesson folders in the repo have the relevant videos linked at the top, and the repo is usually **easier to keep updated than the YouTube playlist**.

So: **start with the GitHub repo first**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""YouTube playlist GitHub repo course FAQ""}'}]",0.0011685,31456f4b5f
What’s the easiest way to find the latest lesson videos?,"The easiest way is to use the **LLM Zoomcamp GitHub repository** as the main entry point.

- Open the **lesson folders** in the repo.
- Each lesson page has the relevant **videos linked at the top**.
- If you’re unsure, **follow the GitHub repo first** since it’s easier to keep updated than the YouTube playlist.

Repo: https://github.com/DataTalksClub/llm-zoomcamp","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""latest lesson videos easiest way find latest lesson videos""}'}]",0.0013215,31456f4b5f
