question,document
Is there a quick way to display the entire content of a long column in Pandas?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s a simple way to normalize each vector in a Pandas Series?,5039707c1a
Can I use `apply()` to normalize vector values in one DataFrame column?,5039707c1a
How do I create a new column with normalized vectors from an existing column?,5039707c1a
What NumPy/Pandas code can I use to divide each vector by its norm?,5039707c1a
How do I calculate the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What's the Pandas way to get the 0.75 quantile from a Series?,b4c8ac5a0c
How can I find a column's percentile value in pandas using one line of code?,b4c8ac5a0c
Is there a built-in method in Pandas to compute quantiles for a DataFrame column?,b4c8ac5a0c
What function should I use to get the 75% percentile of `df['col']` in Pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes using terminal commands?,66ccbb7da0
Is there a quick way to clean up every container and image in Docker from the command line?,66ccbb7da0
"What commands should I run if I want to remove all Docker containers, images, and volumes?",66ccbb7da0
How can I stop a Streamlit feedback button from being clicked more than once per submission?,2e729f1271
Why does `st.session.submitted` get set back to `True` after I press one of the feedback buttons?,2e729f1271
I want users to leave only one +1 or -1 per answer in Streamlit — how do I do that?,2e729f1271
"My ask button sets `st.session.submitted`, but the feedback controls still stay active — what am I missing?",2e729f1271
Is there a fix for Streamlit session state being reassigned after a feedback button is pressed?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
"What do I need to check if docker-compose fails with ""unable to start container process"" for a Streamlit app?",e8df9f0d12
How can I fix the Docker error where the container can't find the streamlit command?,e8df9f0d12
"Do I need a Dockerfile for running Streamlit with docker-compose, and what else should be in the compose setup?",e8df9f0d12
"After changing my docker-compose config for Streamlit, what command should I run to rebuild and launch everything again?",e8df9f0d12
"Can the capstone be done as a team, or does every student need to submit their own project?",0fab61eca2
"If a few of us work on one bigger idea, is that still allowed for the capstone?",0fab61eca2
Can one shared system count for multiple students if each person has their own repo?,0fab61eca2
What if our project is combined — does it still have to be graded separately for each person?,0fab61eca2
How strict is the individual-project rule for the capstone?,0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What does attempt 1 vs attempt 2 mean for the project submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just to practice, and if so does it need a different dataset and problem?",d5fc98925d
"If I miss the first submission deadline, can I still submit in the second window and count it toward the course?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
"If I join the math-kaggle-llm-competition with a team, does that still count for capstone?",e892d44e42
Is the capstone meant to be done individually even if I participate in the competition?,e892d44e42
Can I form a team for the competition and also submit that work as my capstone?,e892d44e42
Does taking part in the Kaggle competition replace the capstone requirement?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
"Do I also need to review other students’ projects, or is it only my own?",9a2e2d2008
What happens if I don’t complete the peer-review part of the capstone?,9a2e2d2008
Which scoring rules should peer reviewers use for the project evaluation?,9a2e2d2008
"After the deadline, how are capstone projects assigned to each participant for review or grading?",eae0fb50aa
"Will we get project review assignments right away after submitting, or only after the submission deadline ends?",eae0fb50aa
How many capstone projects does each participant have to grade once the assignments go out?,eae0fb50aa
What format will the project assignment list be shared in for the capstone review process?,eae0fb50aa
"For the capstone project, when should I expect the grading assignments to be sent out?",eae0fb50aa
"I already sent in my capstone project, so why am I still unable to see any projects to review?",a8a7fef016
"After the submission deadline passes, how do project reviews get assigned to us?",a8a7fef016
"Do we get to pick which projects we evaluate in the capstone, or is it assigned automatically?",a8a7fef016
Why is the review list empty right now even though I submitted my project already?,a8a7fef016
"Can I start reviewing other projects before the assignments are released, or do I need to wait?",a8a7fef016
Where can I look for project ideas and possible datasets for the capstone?,e76a70cde3
Is there a page with some project inspiration plus datasets I can use?,e76a70cde3
"I’m stuck on the capstone — where do I find ideas, data sources, and guidelines?",e76a70cde3
Can you point me to a GitHub link with suggestions for the project and usable datasets?,e76a70cde3
"What’s the best place to check for a few capstone ideas, datasets, and tips?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone, or is a simple Python script enough?",d4f7c08ea1
Will I lose points if I skip an orchestration tool and just build the ingestion pipeline in Python?,d4f7c08ea1
"If I do the ingestion part in a Jupyter notebook, how many points can I get compared to a script?",d4f7c08ea1
When does it make sense to use an orchestrator in the capstone project instead of plain code?,d4f7c08ea1
Should I add an orchestration tool just to satisfy the ingestion pipeline requirement?,d4f7c08ea1
How can I test a recommender RAG when I don't have any real question-answer ground truth?,9b0e2d6a47
What's a good way to create synthetic evaluation data for a retrieval system that recommends items?,9b0e2d6a47
Can I use an LLM to judge the quality of my RAG outputs instead of exact labels?,9b0e2d6a47
"For ranking-type RAG, should I use hit rate or NDCG, and why?",9b0e2d6a47
How would you measure retrieval quality if several items could be acceptable results?,9b0e2d6a47
"For a huge PDF corpus, what chunking approach should I start with so I’m not overthinking it?",6f2a8b3d10
"Should I just use fixed-size chunks first, or is it better to ask an LLM to split the docs into sections right away?",6f2a8b3d10
"Would adding a short summary to each chunk actually help retrieval, and if so how would I use it?",6f2a8b3d10
"For long legal or financial docs, is dense search enough or should I mix in BM25 too?",6f2a8b3d10
What tools do you recommend for turning PDFs into cleaner text or markdown before chunking?,6f2a8b3d10
What does reproducibility mean for the capstone project?,e5d8a2c761
Do I need to put my API keys or service credentials in the repo so the reviewer can run it?,e5d8a2c761
How should I let someone rebuild the search index from scratch when they clone my project?,e5d8a2c761
"Should I include a .env file with real values, or just an example file?",e5d8a2c761
What should I do about model choice and dependency versions so other people can run the project without issues?,e5d8a2c761
"Can I do the homework and final project in something other than Python, like JavaScript or Go?",ea815eb858
"Is it okay to submit a capstone project in Rust, Java, Scala, C#, or R instead of Python?",ea815eb858
"If I choose a non-Python stack for the project, what should I include in the README so the reviewer can run it?",ea815eb858
"Do I have to explain installation and run steps for Windows, macOS, and Linux if I don't use Python?",ea815eb858
Will a project in another language be accepted as long as it is easy to reproduce and review?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous LLM Zoomcamp project submissions I can check out?,930286278d
Can you share the links for old LLM Zoomcamp projects from 2024 and 2025?,930286278d
I want to get a feel for the scope of the capstone — where can I browse earlier projects?,930286278d
Are there any examples of submitted LLM Zoomcamp repositories from previous years?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any step to officially announce my project topic for the capstone?,897a350476
Can I get feedback on my project idea somewhere before I begin?,897a350476
Are projects with similar topics allowed if other students already did something close to my idea?,897a350476
Where can I look at past capstone projects to get a sense of the expected scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
Is there any rule about what kind of interface I have to use for the project?,7318a90b14
"Could I make the project available through a CLI, Slack app, or notebook?",7318a90b14
Does the course require a specific user-facing app format for the capstone?,7318a90b14
"If I choose a non-web interface, will the course teach me how to build it?",7318a90b14
"What are some good tools to pull text out of PDFs for a RAG app, and does the course recommend one specific option?",d8b28c47a0
"If my PDFs are scanned images instead of real text files, what should I use to extract the content?",d8b28c47a0
Is there a library that can turn PDFs into Markdown or JSON for RAG without too much cleanup?,d8b28c47a0
What should I do if I want OCR for image-based documents but don't want to run everything locally?,d8b28c47a0
"After I extract text from documents, is there a recommended next step for chunking or preparing them for RAG?",d8b28c47a0
"Can I use the workshop stuff in my own capstone project, or is it only for practice in the class?",d850a0e7ea
Is it okay to take this dlt workshop content and use it in a different project outside the workshop?,d850a0e7ea
"Since dlt is open source, can I reuse what I learned here for something like the MLOps Zoomcamp project?",d850a0e7ea
"Am I allowed to share the workshop materials with others, or are they only meant for enrolled students?",d850a0e7ea
"If I get stuck, can I ask questions and still use the workshop ideas directly in my project?",d850a0e7ea
How do I create a new dlt project for loading data from the cloud?,6bceeebf04
What command should I run to start a dlt setup with filesystem and duckdb?,6bceeebf04
I'm trying to load from cloud storage with dlt — what's the init command?,6bceeebf04
How do I initialize a dlt project using filesystem and duckdb locally?,6bceeebf04
Where do I begin if I want to set up dlt for a cloud file source?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try to open `dbtable = db.open_table(""notion_pages___homework"")`?",0407213397
What does this error mean in the dlt workshop if the table isn’t found in the database?,0407213397
"I renamed the table to `homework`, but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
Could this `notion_pages___homework` table error happen because I didn’t update the pipeline config everywhere?,0407213397
How do I fix the missing table issue when the error still seems to reference `employee_handbook` somewhere?,0407213397
How do I fix the FileNotFoundError saying the table notion_pages___homework does not exist when I run main()?,e95bfafc0e
"Why am I getting an error that asks me to call db.create_table(notion_pages___homework, data) before opening the table?",e95bfafc0e
"In the dlt workshop, which table name should I use on line 3 to avoid the notion_pages___homework error?",e95bfafc0e
My script fails in main() because the table cannot be found. What should the db.open_table call look like?,e95bfafc0e
What is the correct way to open the homework table in the Notion pages ingestion example?,e95bfafc0e
How can I see all the tables in my database with dlt?,e394e6f738
Is there a method to list every table in the db?,e394e6f738
What do I use to check which tables were created in the database?,e394e6f738
How do I get the names of all tables in the db?,e394e6f738
Where can I find the full table list for the database?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse right now?,cd19f122f3
"Is there a StarRocks connector in dlt yet, or not?",cd19f122f3
"If dlt doesn’t have ClickHouse and StarRocks connectors, can the community add them?",cd19f122f3
"Are ClickHouse and StarRocks planned for dlt, or do I need to build the connector myself?",cd19f122f3
Why do I get a 401 Unauthorized when my notebook calls the Notion search API?,0dfba07ace
What should I check first if the notebook says it has no secret access to Notion?,0dfba07ace
Could this Notion API error be caused by a bad or expired token?,0dfba07ace
How do I know if I’m using the right endpoint and permissions for the Notion API?,0dfba07ace
What configs or auth settings should I verify when the Notion request keeps failing?,0dfba07ace
"Why does my install keep pulling requests 2.28 when lancedb wants 2.32, and how do I force the newer one?",4b30b918bc
What’s the easiest way to install requests straight from GitHub instead of the old pip version?,4b30b918bc
"I’m getting a 401 Client Error during this setup — could it be my key, and how do I check that?",4b30b918bc
Is there a command to pin requests to v2.32.3 from the source zip file?,4b30b918bc
How can I make pip install the exact requests release that lancedb needs?,4b30b918bc
